Rank,Charity,EIN,Wallet Tag,Strategic Score,Archetype,Archetype Label,Resilience,Loop Breaking Raw,Loop Breaking Pts,Leverage,Multiplier Raw,Multiplier Pts,Future-Proofing,Asset Creation Raw,Asset Creation Pts,Sovereignty Raw,Sovereignty Pts,Competence,Verif Contribution,ToC Contribution,Outcome Contribution,Grade Contribution
23,Union of Concerned Scientists,04-2535767,SADAQAH-ELIGIBLE,69,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,18,8,4,4,2
24,"Human Rights Watch, Inc.",13-2875808,SADAQAH-ELIGIBLE,69,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,18,8,4,4,2
25,Fight Colorectal Cancer,20-2622550,SADAQAH-ELIGIBLE,69,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,18,8,4,4,2
26,charity: water,22-3936753,SADAQAH-ELIGIBLE,69,ASSET_CREATION,Asset Creator,18,6,18,12,5,12,20,9,14,6,6,19,8,4,4,3
27,Innocence Project,32-0077563,SADAQAH-ELIGIBLE,69,LEVERAGE,Force Multiplier,21,7,21,22,9,22,11,3,4,7,7,15,8,4,1,2
28,ZAYTUNA COLLEGE,33-0720978,ZAKAT-ELIGIBLE,69,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,19,7,10,9,9,14,8,4,0,2
29,Southern Poverty Law Center,63-0598743,SADAQAH-ELIGIBLE,69,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,18,8,4,3,3
30,The Islamic Association of Arabi,72-1128279,SADAQAH-ELIGIBLE,69,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,21,8,12,9,9,12,8,4,0,0
31,Save the Children Federation,06-0726487,SADAQAH-ELIGIBLE,68,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,13,5,8,5,5,19,8,4,4,3
32,ACLU Foundation,13-6213516,SADAQAH-ELIGIBLE,68,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,17,8,4,3,2
33,Heart Women & Girls,27-3625796,ZAKAT-ELIGIBLE,68,LEVERAGE,Force Multiplier,21,7,21,22,9,22,11,3,4,7,7,14,8,4,0,2
34,Inner-City Muslim Action Network,36-4167433,ZAKAT-ELIGIBLE,68,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,17,7,10,7,7,12,8,4,0,0
35,Givelight Foundation,56-2500794,SADAQAH-ELIGIBLE,68,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,15,7,10,5,5,14,8,4,1,1
36,Equal Justice Initiative,63-1135091,SADAQAH-ELIGIBLE,68,LEVERAGE,Force Multiplier,21,7,21,22,9,22,13,4,6,7,7,12,8,2,0,2
37,Yaqeen Institute for Islamic Research,81-2822877,ZAKAT-ELIGIBLE,68,LEVERAGE,Force Multiplier,15,5,15,20,8,20,16,6,9,7,7,17,8,4,3,2
38,Sierra Club Foundation,94-6069890,SADAQAH-ELIGIBLE,68,LEVERAGE,Force Multiplier,18,6,18,22,9,22,13,4,6,7,7,15,8,4,3,0
39,MAS Boston Society,20-1799252,ZAKAT-ELIGIBLE,67,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,19,7,10,9,9,12,8,4,0,0
40,Tayba Foundation,26-3342933,ZAKAT-ELIGIBLE,67,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,12,4,6,6,6,16,6,4,3,3
41,INSTITUTE FOR SOCIAL POLICY AND UNDERSTANDING,38-3633581,SADAQAH-ELIGIBLE,67,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,16,8,2,4,2
42,Muslim Community Network,75-3163555,ZAKAT-ELIGIBLE,67,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,15,4,6,9,9,16,8,4,2,2
43,COUNCIL ON AMERICAN-ISLAMIC RELATIONS CALIFORNIA,77-0411194,SADAQAH-ELIGIBLE,67,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,16,8,4,4,0
44,Islamic Relief USA,95-4453134,ZAKAT-ELIGIBLE,67,RESILIENCE,Cycle Breaker,21,7,21,12,5,12,15,6,9,6,6,19,8,4,4,3
45,International Rescue Committee,13-5660870,SADAQAH-ELIGIBLE,66,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,14,5,8,6,6,16,8,4,2,2
46,Mercy USA for Aid and Development,38-2846307,ZAKAT-ELIGIBLE,66,RESILIENCE,Cycle Breaker,21,7,21,12,5,12,15,6,9,6,6,18,8,4,3,3
47,Chicago Community Bond Fund,47-5015710,SADAQAH-ELIGIBLE,66,LEVERAGE,Force Multiplier,21,7,21,20,8,20,13,4,6,7,7,12,8,4,0,0
48,Unity Productions Foundation,77-0519274,SADAQAH-ELIGIBLE,66,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,4,6,5,5,15,8,4,1,2
49,The Intercept,92-1198452,SADAQAH-ELIGIBLE,66,LEVERAGE,Force Multiplier,15,5,15,22,9,22,13,4,6,7,7,16,8,4,2,2
50,Earthjustice,94-1730465,SADAQAH-ELIGIBLE,66,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,15,8,4,1,2
51,Muslim Public Affairs Council Foundation,95-4675391,ZAKAT-ELIGIBLE,66,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,15,8,4,0,3
52,Action Against Hunger USA,13-3327220,SADAQAH-ELIGIBLE,65,RESILIENCE,Cycle Breaker,21,7,21,12,5,12,14,6,9,5,5,18,8,4,4,2
53,350.org,26-1150699,SADAQAH-ELIGIBLE,65,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,14,8,4,0,2
54,United Muslim Relief,27-3175543,ZAKAT-ELIGIBLE,65,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,15,6,9,6,6,14,8,4,1,1
55,Al-Arqam Islamic School,94-3311132,SADAQAH-ELIGIBLE,65,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,19,7,10,9,9,10,8,2,0,0
56,Muslim Association of Puget Sound,20-4423661,SADAQAH-ELIGIBLE,64,SOVEREIGNTY,Institution Builder,18,6,18,15,6,15,19,7,10,9,9,12,8,2,1,1
57,Islamic Society of Central Jersey,22-2086228,ZAKAT-ELIGIBLE,64,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,21,8,12,9,9,7,0,4,1,2
58,Ghamidi Center of Islamic Learning,46-5099190,ZAKAT-ELIGIBLE,64,LEVERAGE,Force Multiplier,18,6,18,20,8,20,12,4,6,6,6,14,6,4,4,0
59,Muhsen,47-3187591,SADAQAH-ELIGIBLE,64,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,16,5,8,8,8,12,6,2,2,2
60,Nur Islamic School of Louisville,61-1347154,SADAQAH-ELIGIBLE,64,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,14,5,8,6,6,14,8,4,0,2
61,SAPA,83-3464851,ZAKAT-ELIGIBLE,64,SOVEREIGNTY,Institution Builder,15,5,15,15,6,15,18,7,10,8,8,16,8,4,2,2
62,Qalam Education Fund,86-1226156,ZAKAT-ELIGIBLE,64,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,16,5,8,8,8,12,8,4,0,0
63,UNICEF USA,13-1760110,SADAQAH-ELIGIBLE,63,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,13,5,8,5,5,14,8,0,3,3
64,Cancer Research Institute,13-1837442,SADAQAH-ELIGIBLE,63,LEVERAGE,Force Multiplier,12,4,12,22,9,22,11,5,8,3,3,18,8,4,4,2
65,Natural Resources Defense Council,13-2654926,SADAQAH-ELIGIBLE,63,LEVERAGE,Force Multiplier,18,6,18,22,9,22,11,3,4,7,7,12,8,4,0,0
66,Texas Muslim Womens Foundation Inc,20-3060929,ZAKAT-ELIGIBLE,63,RESILIENCE,Cycle Breaker,24,8,24,12,5,12,15,6,9,6,6,12,8,4,0,0
67,Hidaya Foundation,77-0502583,ZAKAT-ELIGIBLE,63,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,13,5,8,5,5,14,8,4,1,1
68,Pillars Fund,81-0983087,SADAQAH-ELIGIBLE,63,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,15,4,6,9,9,12,8,4,0,0
69,PALESTINE CHILDRENS RELIEF FUND,93-1057665,ZAKAT-ELIGIBLE,63,ASSET_CREATION,Asset Creator,12,4,12,12,5,12,20,9,14,6,6,19,8,4,4,3
70,MCA,31-1267559,ZAKAT-ELIGIBLE,62,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,19,7,10,9,9,13,6,2,3,2
71,Helping Hand for Relief and Development,31-1628040,ZAKAT-ELIGIBLE,62,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,14,5,8,6,6,12,8,4,0,0
72,Khalil Center,47-1313957,ZAKAT-ELIGIBLE,62,LEVERAGE,Force Multiplier,21,7,21,20,8,20,14,5,8,6,6,7,0,4,1,2
73,Penny Appeal USA,47-5165837,ZAKAT-ELIGIBLE,62,ASSET_CREATION,Asset Creator,15,5,15,12,5,12,17,8,12,5,5,18,8,4,3,3
74,Muslim Academy of Greater Orlando,56-2620244,SADAQAH-ELIGIBLE,62,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,14,5,8,6,6,12,8,4,0,0
75,Human Appeal USA,87-2410117,ZAKAT-ELIGIBLE,62,RESILIENCE,Cycle Breaker,21,7,21,12,5,12,14,6,9,5,5,15,8,4,1,2
76,Muslim Community Center Chicago,23-7060038,ZAKAT-ELIGIBLE,61,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,21,8,12,9,9,10,8,2,0,0
77,Darul Qasim,36-4398970,ZAKAT-ELIGIBLE,61,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,19,7,10,9,9,6,0,4,0,2
78,Against Malaria Foundation,20-3069841,SADAQAH-ELIGIBLE,60,LEVERAGE,Force Multiplier,12,4,12,22,9,22,7,3,4,3,3,19,8,4,4,3
79,Islamic Center of Irvine,33-0992506,SADAQAH-ELIGIBLE,60,SOVEREIGNTY,Institution Builder,15,5,15,15,6,15,19,7,10,9,9,11,8,2,0,1
80,Muslim Hands USA,27-4155655,ZAKAT-ELIGIBLE,59,ASSET_CREATION,Asset Creator,15,5,15,12,5,12,20,9,14,6,6,12,6,4,1,1
81,Zakat Foundation of America,36-4476244,ZAKAT-ELIGIBLE,59,ASSET_CREATION,Asset Creator,15,5,15,12,5,12,17,8,12,5,5,15,8,4,1,2
82,Muslim American Society of Greater LA,81-3745284,ZAKAT-ELIGIBLE,59,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,17,5,8,9,9,6,0,4,1,1
83,American Imam Academy,82-1150290,SADAQAH-ELIGIBLE,59,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,19,7,10,9,9,4,0,4,0,0
84,Ar-Rahman Learning Center,85-3547280,SADAQAH-ELIGIBLE,59,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,11,4,6,5,5,12,8,4,0,0
85,Friends of KDSP,88-2980325,SADAQAH-ELIGIBLE,59,RESILIENCE,Cycle Breaker,24,8,24,15,6,15,14,5,8,6,6,6,0,4,1,1
86,Islamic Foundation of Nevada,88-0405956,SADAQAH-ELIGIBLE,58,SOVEREIGNTY,Institution Builder,21,7,21,15,6,15,18,7,10,8,8,4,0,4,0,0
87,Imran Khan Cancer Appeal USA,13-3626299,ZAKAT-ELIGIBLE,57,ASSET_CREATION,Asset Creator,12,4,12,12,5,12,19,9,14,5,5,14,8,4,0,2
88,ICNA Chicago Illinois Organization,47-3342673,ZAKAT-ELIGIBLE,57,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,17,5,8,9,9,4,0,4,0,0
89,IRUSA Waqf,47-1666091,ZAKAT-ELIGIBLE,56,ASSET_CREATION,Asset Creator,15,5,15,15,6,15,19,9,14,5,5,7,0,4,1,2
90,The Hassan Foundation,56-2639095,ZAKAT-ELIGIBLE,56,ASSET_CREATION,Asset Creator,18,6,18,12,5,12,19,9,14,5,5,7,0,4,1,2
91,ICNA Council for Social Justice,80-0508709,SADAQAH-ELIGIBLE,56,LEVERAGE,Force Multiplier,18,6,18,20,8,20,11,3,4,7,7,7,3,4,0,0
92,Dar-us-Sakina,85-3996086,ZAKAT-ELIGIBLE,56,RESILIENCE,Cycle Breaker,21,7,21,15,6,15,12,4,6,6,6,8,6,2,0,0
93,Muslim Advocates,30-0298794,ZAKAT-ELIGIBLE,55,LEVERAGE,Force Multiplier,18,6,18,20,8,20,11,3,4,7,7,6,0,4,0,2
94,The Center for Islamic Teachings and Community Development,45-4227947,SADAQAH-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,21,8,12,9,9,4,0,4,0,0
95,US Council of Muslim Organizations,46-2811888,SADAQAH-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,15,4,6,9,9,4,0,4,0,0
96,Sachse Muslim Society,47-1365228,ZAKAT-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,21,8,12,9,9,4,0,4,0,0
97,Muslim Wellness Foundation,47-2533025,SADAQAH-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,18,7,18,15,4,6,9,9,4,0,4,0,0
98,ING,77-0412815,SADAQAH-ELIGIBLE,55,LEVERAGE,Force Multiplier,18,6,18,20,8,20,11,4,6,5,5,6,0,4,0,2
99,Muslim American Youth Foundation,81-3135852,SADAQAH-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,15,6,15,18,7,10,8,8,4,0,4,0,0
100,Najam Institute Foundation,83-4231488,SADAQAH-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,15,6,15,18,7,10,8,8,4,0,4,0,0
101,The Mecca Center,84-5191730,ZAKAT-ELIGIBLE,55,ASSET_CREATION,Asset Creator,18,6,18,12,5,12,21,9,14,7,7,4,0,4,0,0
102,Maristan,87-1035868,ZAKAT-ELIGIBLE,55,SOVEREIGNTY,Institution Builder,18,6,18,15,6,15,16,5,8,8,8,6,0,4,0,2
103,Institute for Understanding Anti-Palestinian Racism,99-3032347,SADAQAH-ELIGIBLE,55,LEVERAGE,Force Multiplier,18,6,18,20,8,20,11,3,4,7,7,6,0,4,0,2
104,The Family & Youth Institute,20-4097808,ZAKAT-ELIGIBLE,54,LEVERAGE,Force Multiplier,18,6,18,20,8,20,10,3,4,6,6,6,0,4,0,2
105,Feeding America,36-3673599,SADAQAH-ELIGIBLE,54,LEVERAGE,Force Multiplier,9,3,9,20,8,20,10,4,6,4,4,15,8,4,1,2
106,ICNAB,81-2169685,SADAQAH-ELIGIBLE,54,SOVEREIGNTY,Institution Builder,12,4,12,15,6,15,19,7,10,9,9,8,8,0,0,0
107,Poligon Education Fund,81-3451645,ZAKAT-ELIGIBLE,54,LEVERAGE,Force Multiplier,18,6,18,20,8,20,11,3,4,7,7,5,0,2,1,2
108,National Association of Muslim Charitable Clinics,93-2136609,SADAQAH-ELIGIBLE,54,SOVEREIGNTY,Institution Builder,15,5,15,18,7,18,15,4,6,9,9,6,0,4,1,1
109,Muslim Foundation,22-2413703,SADAQAH-ELIGIBLE,53,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,21,8,12,9,9,2,0,2,0,0
110,International Institute of Islamic Thought,23-2202414,SADAQAH-ELIGIBLE,53,LEVERAGE,Force Multiplier,18,6,18,20,8,20,13,4,6,7,7,2,0,2,0,0
111,Al Jazari Institute,45-5134951,SADAQAH-ELIGIBLE,53,SOVEREIGNTY,Institution Builder,18,6,18,15,6,15,16,5,8,8,8,4,0,4,0,0
112,Dawat-E-Islami USA,46-4451777,ZAKAT-ELIGIBLE,52,ASSET_CREATION,Asset Creator,18,6,18,12,5,12,20,9,14,6,6,2,0,2,0,0
113,Sadagaat,47-2864379,ZAKAT-ELIGIBLE,51,DIRECT_SERVICE,Direct Responder,12,4,12,8,3,8,13,6,9,4,4,18,8,4,3,3
114,Link Outside,83-1171525,ZAKAT-ELIGIBLE,51,LEVERAGE,Force Multiplier,9,3,9,22,9,22,12,4,6,6,6,8,0,4,1,3
115,Indus Hospital,20-4751162,ZAKAT-ELIGIBLE,50,DIRECT_SERVICE,Direct Responder,12,4,12,8,3,8,12,5,8,4,4,18,8,4,3,3
116,Islamic Society of Greater Houston,23-7065716,ZAKAT-ELIGIBLE,50,SOVEREIGNTY,Institution Builder,12,4,12,12,5,12,21,8,12,9,9,5,3,2,0,0
117,Islamic Society of Northwest Suburbs of Chicago,36-3200165,ZAKAT-ELIGIBLE,50,SOVEREIGNTY,Institution Builder,18,6,18,12,5,12,18,7,10,8,8,2,0,2,0,0
118,MedGlobal,82-2517347,ZAKAT-ELIGIBLE,50,DIRECT_SERVICE,Direct Responder,9,3,9,10,4,10,12,4,6,6,6,19,8,4,4,3
119,SIUT,76-0656947,ZAKAT-ELIGIBLE,49,DIRECT_SERVICE,Direct Responder,12,4,12,8,3,8,11,5,8,3,3,18,8,4,3,3
120,Islamic Center of Southern California,95-3502914,ZAKAT-ELIGIBLE,48,SOVEREIGNTY,Institution Builder,15,5,15,12,5,12,19,7,10,9,9,2,0,2,0,0
121,Ta'leef Collective,72-1528691,ZAKAT-ELIGIBLE,47,RESILIENCE,Cycle Breaker,21,7,21,12,5,12,12,4,6,6,6,2,0,2,0,0
122,SYRIAN AMERICAN MEDICAL SOCIETY FOUNDATION,16-1717058,SADAQAH-ELIGIBLE,46,DIRECT_SERVICE,Direct Responder,9,3,9,10,4,10,11,4,6,5,5,16,8,2,3,3
123,North-American Islamic Shelter for the Abused,26-0906163,ZAKAT-ELIGIBLE,46,RESILIENCE,Cycle Breaker,21,7,21,10,4,10,9,3,4,5,5,6,0,4,0,2
124,Direct Relief,95-1831116,SADAQAH-ELIGIBLE,45,DIRECT_SERVICE,Direct Responder,9,3,9,10,4,10,7,2,3,4,4,19,8,4,4,3
125,Second Harvest Food Bank,94-2614101,SADAQAH-ELIGIBLE,44,DIRECT_SERVICE,Direct Responder,9,3,9,10,4,10,6,2,3,3,3,19,8,4,4,3
126,Muslim Aid America,46-2504422,SADAQAH-ELIGIBLE,43,DIRECT_SERVICE,Direct Responder,9,3,9,8,3,8,11,5,8,3,3,15,8,2,3,2
127,Heal Palestine,88-2454707,ZAKAT-ELIGIBLE,43,DIRECT_SERVICE,Direct Responder,9,3,9,8,3,8,10,4,6,4,4,16,8,4,2,2
128,Darul Huda Corporation,54-1674126,SADAQAH-ELIGIBLE,42,SOVEREIGNTY,Institution Builder,12,4,12,12,5,12,16,5,8,8,8,2,0,2,0,0
129,"Baitulmaal, Inc.",20-0942434,ZAKAT-ELIGIBLE,41,DIRECT_SERVICE,Direct Responder,9,3,9,5,2,5,8,4,6,2,2,19,8,4,4,3
130,Muslim Bar Association of New York,20-5509305,SADAQAH-ELIGIBLE,41,SOVEREIGNTY,Institution Builder,12,4,12,15,6,15,12,3,4,8,8,2,0,2,0,0
131,National Association of Muslim Lawyers,52-2283398,SADAQAH-ELIGIBLE,41,SOVEREIGNTY,Institution Builder,12,4,12,15,6,15,12,3,4,8,8,2,0,2,0,0
132,Transparent Hands USA,47-3564801,ZAKAT-ELIGIBLE,40,DIRECT_SERVICE,Direct Responder,9,3,9,8,3,8,4,1,2,2,2,19,8,4,4,3
133,The Islamic Society of Southern California,83-0668931,SADAQAH-ELIGIBLE,40,SOVEREIGNTY,Institution Builder,9,3,9,10,4,10,17,6,9,8,8,4,0,4,0,0
134,Support Life Foundation,47-1675693,SADAQAH-ELIGIBLE,39,DIRECT_SERVICE,Direct Responder,9,3,9,8,3,8,6,2,3,3,3,16,6,4,3,3
135,ICNA Relief,04-3810161,ZAKAT-ELIGIBLE,38,DIRECT_SERVICE,,9,3,9,5,2,5,6,2,3,3,3,18,8,,,
136,World Central Kitchen,27-3521132,SADAQAH-ELIGIBLE,38,DIRECT_SERVICE,Direct Responder,6,2,6,8,3,8,5,1,2,3,3,19,8,4,4,3
137,American Red CrossHQ,53-0196605,SADAQAH-ELIGIBLE,38,DIRECT_SERVICE,Direct Responder,6,2,6,8,3,8,5,2,3,2,2,19,8,4,4,3
138,International Aid Charity,46-3973114,ZAKAT-ELIGIBLE,36,DIRECT_SERVICE,Direct Responder,9,3,9,5,2,5,8,4,6,2,2,14,8,4,1,1
139,Doctors Without Borders,13-3433452,SADAQAH-ELIGIBLE,35,DIRECT_SERVICE,Direct Responder,6,2,6,8,3,8,4,1,2,2,2,17,8,2,4,3
140,Pure Hands,45-4810098,ZAKAT-ELIGIBLE,35,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,7,3,4,3,3,17,8,4,3,2
141,Al-Furqaan Foundation,20-0310701,ZAKAT-ELIGIBLE,33,DIRECT_SERVICE,Direct Responder,6,2,6,8,3,8,9,4,6,3,3,10,8,2,0,0
142,Rahima Foundation,77-0442850,ZAKAT-ELIGIBLE,33,DIRECT_SERVICE,Direct Responder,9,3,9,5,2,5,5,2,3,2,2,14,8,4,1,1
143,Afghan Refugee Relief,93-1556038,SADAQAH-ELIGIBLE,30,DIRECT_SERVICE,Direct Responder,12,4,12,8,3,8,6,2,3,3,3,4,0,2,1,1
144,KinderUSA,75-2999028,SADAQAH-ELIGIBLE,29,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,6,2,3,3,3,12,8,0,2,2
145,MCC East Bay,20-8085421,ZAKAT-ELIGIBLE,24,DIRECT_SERVICE,Direct Responder,9,3,9,5,2,5,6,2,3,3,3,4,0,2,1,1
146,Islamic Oasis,26-3531888,SADAQAH-ELIGIBLE,24,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,9,4,6,3,3,4,0,4,0,0
147,Humaniti,92-3079413,ZAKAT-ELIGIBLE,24,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,7,3,4,3,3,6,0,4,1,1
148,Yateem Foundation,99-3373484,ZAKAT-ELIGIBLE,23,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,6,3,4,2,2,6,0,4,0,2
149,Al Ummah Community Center,83-2403741,SADAQAH-ELIGIBLE,21,DIRECT_SERVICE,Direct Responder,6,2,6,5,2,5,6,2,3,3,3,4,0,4,0,0
