Rank,Charity,EIN,Wallet Tag,Trad Zakat Score,Fiqh Compliance,Wallet Tag Pts,Asnaf Category,Asnaf Clarity Pts,Directness,Program Expense Ratio,Prog Ratio Pts,Beneficiary Proximity Pts,Community Identity,Muslim Fit,Muslim Fit Pts,Islamic Identity Bonus,Speed of Delivery,Cause Area,Cause Speed Pts,Urgency Bonus
30,Islamic Services Foundation,75-2352043,ZAKAT-ELIGIBLE,80,32,20,"fuqara, masakin",12,19,99.5%,15,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
31,PALESTINE CHILDRENS RELIEF FUND,93-1057665,ZAKAT-ELIGIBLE,80,32,20,"fuqara, masakin",12,22,88.1%,12,10,8,low,5,3,18,HUMANITARIAN,18,0
32,International Aid Charity,46-3973114,ZAKAT-ELIGIBLE,78,30,20,amil,10,22,87.8%,12,10,8,low,5,3,18,HUMANITARIAN,18,0
33,Khalil Center,47-1313957,ZAKAT-ELIGIBLE,77,32,20,"fuqara, masakin",12,19,71.2%,9,10,8,low,5,3,18,HUMANITARIAN,18,0
34,Dar-us-Sakina,85-3996086,ZAKAT-ELIGIBLE,77,32,20,"fuqara, masakin",12,14,72.2%,9,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
35,MAS Boston Society,20-1799252,ZAKAT-ELIGIBLE,75,30,20,masakin,10,16,85.3%,12,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
36,Yaqeen Institute for Islamic Research,81-2822877,ZAKAT-ELIGIBLE,75,30,20,fisabilillah,10,16,86.1%,12,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
37,Imran Khan Cancer Appeal USA,13-3626299,ZAKAT-ELIGIBLE,74,32,20,"fuqara, masakin",12,22,97.4%,15,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
38,ZAYTUNA COLLEGE,33-0720978,ZAKAT-ELIGIBLE,74,35,20,"fuqara, masakin, amil, gharimin, fisabilillah",15,8,56.0%,3,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
39,ICNA Chicago Illinois Organization,47-3342673,ZAKAT-ELIGIBLE,73,30,20,fi_sabilillah,10,13,70.5%,9,4,22,high,20,2,8,RELIGIOUS_CULTURAL,8,0
40,Islamic Scholarship Fund (ISF),20-8540050,ZAKAT-ELIGIBLE,72,30,20,fisabilillah,10,11,65.0%,6,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
41,North-American Islamic Shelter for the Abused,26-0906163,ZAKAT-ELIGIBLE,72,30,20,amil,10,13,79.3%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
42,Muslim American Society of Greater LA,81-3745284,ZAKAT-ELIGIBLE,72,30,20,fuqara,10,13,77.3%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
43,Indus Hospital,20-4751162,ZAKAT-ELIGIBLE,71,32,20,"fuqara, masakin",12,19,86.8%,12,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
44,Islamic Society of Central Jersey,22-2086228,ZAKAT-ELIGIBLE,71,35,20,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,7,32.2%,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
45,Heart Women & Girls,27-3625796,ZAKAT-ELIGIBLE,71,35,20,"fuqara, masakin, amil, muallaf, riqab, fisabilillah",15,11,74.8%,9,2,21,high,20,1,4,ADVOCACY,4,0
46,SIUT,76-0656947,ZAKAT-ELIGIBLE,71,32,20,"fuqara, masakin",12,19,84.0%,12,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
47,Islamic Society of Greater Houston,23-7065716,ZAKAT-ELIGIBLE,70,34,20,"fuqara, masakin, gharimin",14,7,,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
48,Emgage Foundation,26-1441032,SADAQAH-ELIGIBLE,69,5,5,,0,25,93.3%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
49,The Citizens Foundation USA,41-2046295,ZAKAT-ELIGIBLE,69,34,20,"fuqara, masakin, fisabilillah",14,17,89.5%,12,5,8,low,5,3,10,EDUCATION_GLOBAL,10,0
50,ICNAB,81-2169685,SADAQAH-ELIGIBLE,69,20,5,"fuqara, masakin, amil, muallaf, riqab, gharimin",15,19,97.9%,15,4,22,high,20,2,8,RELIGIOUS_CULTURAL,8,0
51,SAPA,83-3464851,ZAKAT-ELIGIBLE,69,30,20,ibn_sabil,10,19,81.2%,12,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
52,Najam Institute Foundation,83-4231488,SADAQAH-ELIGIBLE,69,5,5,,0,25,100.0%,15,10,21,high,20,1,18,HUMANITARIAN,18,0
53,Yateem Foundation,99-3373484,ZAKAT-ELIGIBLE,69,30,20,masakin,10,13,,3,10,8,low,5,3,18,HUMANITARIAN,18,0
54,Islamic Center of Southern California,95-3502914,ZAKAT-ELIGIBLE,68,32,20,"fuqara, masakin",12,7,49.6%,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
55,Muslim Hands USA,27-4155655,ZAKAT-ELIGIBLE,67,30,20,fuqara,10,7,35.3%,3,4,22,high,20,2,8,RELIGIOUS_CULTURAL,8,0
56,Muslim Legal Fund of America,01-0548371,ZAKAT-ELIGIBLE,66,30,20,fisabilillah,10,11,71.4%,9,2,21,high,20,1,4,ADVOCACY,4,0
57,Al-Furqaan Foundation,20-0310701,ZAKAT-ELIGIBLE,66,34,20,"fisabilillah, gharimin, muallaf",14,16,89.3%,12,4,8,low,5,3,8,RELIGIOUS_CULTURAL,8,0
58,Ghamidi Center of Islamic Learning,46-5099190,ZAKAT-ELIGIBLE,66,30,20,fisabilillah,10,11,75.2%,9,2,21,high,20,1,4,ADVOCACY,4,0
59,Sachse Muslim Society,47-1365228,ZAKAT-ELIGIBLE,66,30,20,fi_sabilillah,10,7,13.6%,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
60,Transparent Hands USA,47-3564801,ZAKAT-ELIGIBLE,66,30,20,fuqara,10,16,72.0%,9,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
61,CAIR FOUNDATION INC,77-0646756,ZAKAT-ELIGIBLE,66,32,20,"fi_sabilillah, masakin",12,8,66.4%,6,2,22,high,20,2,4,ADVOCACY,4,0
62,International Rescue Committee,13-5660870,SADAQAH-ELIGIBLE,65,20,5,"fuqara, masakin, gharimin, ibn_sabil, amil",15,22,87.7%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
63,World Central Kitchen,27-3521132,SADAQAH-ELIGIBLE,65,17,5,"fuqara, masakin",12,25,92.5%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
64,Iqra Fund,45-2751655,ZAKAT-ELIGIBLE,65,30,20,amil,10,17,85.9%,12,5,8,low,5,3,10,EDUCATION_GLOBAL,10,0
65,Dawat-E-Islami USA,46-4451777,ZAKAT-ELIGIBLE,65,30,20,muallaf,10,19,96.4%,15,4,8,low,5,3,8,RELIGIOUS_CULTURAL,8,0
66,The Islamic Association of Arabi,72-1128279,SADAQAH-ELIGIBLE,65,17,5,"fuqara, masakin",12,19,96.1%,15,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
67,KinderUSA,75-2999028,SADAQAH-ELIGIBLE,65,17,5,"fuqara, masakin",12,25,90.3%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
68,Muslim Public Affairs Council Foundation,95-4675391,ZAKAT-ELIGIBLE,65,35,20,"muallaf, riqab, fisabilillah, ibn_sabil",15,5,57.2%,3,2,21,high,20,1,4,ADVOCACY,4,0
69,Muslim Association of Puget Sound,20-4423661,SADAQAH-ELIGIBLE,64,19,5,"fuqara, masakin, ibn_sabil",14,16,81.7%,12,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
70,Muslim Advocates,30-0298794,ZAKAT-ELIGIBLE,64,34,20,"amil, muallaf, fisabilillah",14,5,54.9%,3,2,21,high,20,1,4,ADVOCACY,4,0
71,Islamic Center of Irvine,33-0992506,SADAQAH-ELIGIBLE,64,19,5,"fuqara, masakin, ibn_sabil",14,16,89.9%,12,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
72,Pillars Fund,81-0983087,SADAQAH-ELIGIBLE,63,5,5,,0,19,74.3%,9,10,21,high,20,1,18,HUMANITARIAN,18,0
73,UNICEF USA,13-1760110,SADAQAH-ELIGIBLE,62,17,5,"fuqara, masakin",12,22,87.6%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
74,Action Against Hunger USA,13-3327220,SADAQAH-ELIGIBLE,62,17,5,"fuqara, masakin",12,22,89.7%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
75,Tayba Foundation,26-3342933,ZAKAT-ELIGIBLE,62,30,20,riqab,10,16,84.6%,12,4,8,low,5,3,8,RELIGIOUS_CULTURAL,8,0
76,MCA,31-1267559,ZAKAT-ELIGIBLE,62,32,20,"fuqara, masakin",12,5,0.0%,3,2,21,high,20,1,4,ADVOCACY,4,0
77,BASMAH,82-1670588,ZAKAT-ELIGIBLE,62,32,20,"fuqara, masakin",12,5,0.0%,3,2,21,high,20,1,4,ADVOCACY,4,0
78,Maristan,87-1035868,ZAKAT-ELIGIBLE,62,32,20,"fuqara, masakin",12,10,0.0%,3,7,8,low,5,3,12,GLOBAL_HEALTH,12,0
79,Second Harvest Food Bank,94-2614101,SADAQAH-ELIGIBLE,62,17,5,"fuqara, masakin",12,25,94.8%,15,10,5,low,5,0,15,EXTREME_POVERTY,15,0
80,The Center for Islamic Teachings and Community Development,45-4227947,SADAQAH-ELIGIBLE,61,19,5,"fuqara, masakin, fisabilillah",14,17,100.0%,15,2,21,high,20,1,4,ADVOCACY,4,0
81,Chicago Community Bond Fund,47-5015710,SADAQAH-ELIGIBLE,61,19,5,"riqab, fuqara, masakin",14,23,90.2%,15,8,5,low,5,0,14,DOMESTIC_POVERTY,14,0
82,Ta'leef Collective,72-1528691,ZAKAT-ELIGIBLE,61,35,20,"fuqara, masakin, muallaf, riqab, fisabilillah",15,8,22.1%,3,5,8,low,5,3,10,EDUCATION_GLOBAL,10,0
83,ICNA Council for Social Justice,80-0508709,SADAQAH-ELIGIBLE,60,20,5,"fuqara, masakin, amil, muallaf, riqab, gharimin, fisabilillah, ibn_sabil",15,14,82.6%,12,2,22,high,20,2,4,ADVOCACY,4,0
84,Al Ummah Community Center,83-2403741,SADAQAH-ELIGIBLE,60,5,5,,0,20,82.3%,12,8,21,high,20,1,14,DOMESTIC_POVERTY,14,0
85,Bayan Islamic Graduate School,46-2431099,SADAQAH-ELIGIBLE,58,19,5,"fisabilillah, fuqara, masakin",14,8,52.0%,3,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
86,Link Outside,83-1171525,ZAKAT-ELIGIBLE,58,25,20,,5,11,,3,8,8,low,5,3,14,DOMESTIC_POVERTY,14,0
87,SYRIAN AMERICAN MEDICAL SOCIETY FOUNDATION,16-1717058,SADAQAH-ELIGIBLE,56,17,5,"fuqara, masakin",12,22,95.6%,15,7,5,low,5,0,12,GLOBAL_HEALTH,12,0
88,The Family & Youth Institute,20-4097808,ZAKAT-ELIGIBLE,56,30,20,fisabilillah,10,14,83.6%,12,2,8,low,5,3,4,ADVOCACY,4,0
89,Obat Helpers,47-0946122,ZAKAT-ELIGIBLE,56,30,20,fuqara,10,14,82.1%,12,2,8,low,5,3,4,ADVOCACY,4,0
90,Nur Islamic School of Louisville,61-1347154,SADAQAH-ELIGIBLE,56,5,5,,0,20,100.0%,15,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
91,Friends of KDSP,88-2980325,SADAQAH-ELIGIBLE,56,17,5,"fuqara, masakin",12,16,60.4%,6,10,5,low,5,0,18,HUMANITARIAN,18,0
92,Al-Arqam Islamic School,94-3311132,SADAQAH-ELIGIBLE,56,5,5,,0,20,98.1%,15,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
93,Al Jazari Institute,45-5134951,SADAQAH-ELIGIBLE,54,5,5,,0,14,68.6%,6,8,21,high,20,1,14,DOMESTIC_POVERTY,14,0
94,Darul Huda Corporation,54-1674126,SADAQAH-ELIGIBLE,54,5,5,,0,19,97.5%,15,4,22,high,20,2,8,RELIGIOUS_CULTURAL,8,0
95,CARE USA,13-1685039,SADAQAH-ELIGIBLE,53,5,5,,0,25,91.1%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
96,Helen Keller International,13-5562162,SADAQAH-ELIGIBLE,53,17,5,"fuqara, masakin",12,19,82.8%,12,7,5,low,5,0,12,GLOBAL_HEALTH,12,0
97,International Institute of Islamic Thought,23-2202414,SADAQAH-ELIGIBLE,53,5,5,,0,19,95.0%,15,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
98,"GiveDirectly, Inc",27-1661997,SADAQAH-ELIGIBLE,53,5,5,,0,25,91.8%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
99,Support Life Foundation,47-1675693,SADAQAH-ELIGIBLE,53,5,5,,0,25,95.1%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
100,Muhsen,47-3187591,SADAQAH-ELIGIBLE,53,17,5,"masakin, fisabilillah",12,13,59.7%,3,10,5,low,5,0,18,HUMANITARIAN,18,0
101,American Red CrossHQ,53-0196605,SADAQAH-ELIGIBLE,53,5,5,,0,25,90.8%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
102,COUNCIL ON AMERICAN-ISLAMIC RELATIONS CALIFORNIA,77-0411194,SADAQAH-ELIGIBLE,53,5,5,,0,17,83.7%,12,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
103,Poligon Education Fund,81-3451645,ZAKAT-ELIGIBLE,53,30,20,fisabilillah,10,7,,3,4,8,low,5,3,8,RELIGIOUS_CULTURAL,8,0
104,Direct Relief,95-1831116,SADAQAH-ELIGIBLE,53,5,5,,0,25,99.5%,15,10,5,low,5,0,18,HUMANITARIAN,18,0
105,Muslim Bar Association of New York,20-5509305,SADAQAH-ELIGIBLE,51,5,5,,0,11,,3,8,21,high,20,1,14,DOMESTIC_POVERTY,14,0
106,Darul Qasim,36-4398970,ZAKAT-ELIGIBLE,51,25,20,,5,8,51.9%,3,5,8,low,5,3,10,EDUCATION_GLOBAL,10,0
107,National Association of Muslim Lawyers,52-2283398,SADAQAH-ELIGIBLE,51,5,5,,0,11,,3,8,21,high,20,1,14,DOMESTIC_POVERTY,14,0
108,Save the Children Federation,06-0726487,SADAQAH-ELIGIBLE,50,5,5,,0,22,84.9%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
109,Doctors Without Borders,13-3433452,SADAQAH-ELIGIBLE,50,5,5,,0,22,84.7%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
110,charity: water,22-3936753,SADAQAH-ELIGIBLE,50,5,5,,0,22,81.3%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
111,Feeding America,36-3673599,SADAQAH-ELIGIBLE,50,5,5,,0,25,98.3%,15,10,5,low,5,0,15,EXTREME_POVERTY,15,0
112,Givelight Foundation,56-2500794,SADAQAH-ELIGIBLE,50,5,5,,0,22,88.7%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
113,The Carter Center,58-1454716,SADAQAH-ELIGIBLE,50,5,5,,0,22,81.4%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
114,Islamic Foundation of Nevada,88-0405956,SADAQAH-ELIGIBLE,50,5,5,,0,14,75.5%,9,5,21,high,20,1,10,EDUCATION_GLOBAL,10,0
115,Sierra Club Foundation,94-6069890,SADAQAH-ELIGIBLE,50,5,5,,0,22,86.0%,12,10,5,low,5,0,18,HUMANITARIAN,18,0
116,Muslim Foundation,22-2413703,SADAQAH-ELIGIBLE,48,5,5,,0,13,72.4%,9,4,22,high,20,2,8,RELIGIOUS_CULTURAL,8,0
117,US Council of Muslim Organizations,46-2811888,SADAQAH-ELIGIBLE,48,5,5,,0,17,100.0%,15,2,22,high,20,2,4,ADVOCACY,4,0
118,National Association of Muslim Charitable Clinics,93-2136609,SADAQAH-ELIGIBLE,48,5,5,,0,10,,3,7,21,high,20,1,12,GLOBAL_HEALTH,12,0
119,Islamic Educational Foundation,22-3382037,SADAQAH-ELIGIBLE,47,5,5,,0,13,71.5%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
120,Oxfam America,23-7069110,SADAQAH-ELIGIBLE,47,5,5,,0,19,72.3%,9,10,5,low,5,0,18,HUMANITARIAN,18,0
121,Muslim Wellness Foundation,47-2533025,SADAQAH-ELIGIBLE,47,5,5,,0,17,100.0%,15,2,21,high,20,1,4,ADVOCACY,4,0
122,Unity Productions Foundation,77-0519274,SADAQAH-ELIGIBLE,47,5,5,,0,13,76.1%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
123,Muslim American Youth Foundation,81-3135852,SADAQAH-ELIGIBLE,47,5,5,,0,13,72.1%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
124,American Imam Academy,82-1150290,SADAQAH-ELIGIBLE,47,5,5,,0,13,70.2%,9,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
125,"Human Rights Watch, Inc.",13-2875808,SADAQAH-ELIGIBLE,44,5,5,,0,16,69.5%,6,10,5,low,5,0,18,HUMANITARIAN,18,0
126,Against Malaria Foundation,20-3069841,SADAQAH-ELIGIBLE,44,5,5,,0,22,100.0%,15,7,5,low,5,0,12,GLOBAL_HEALTH,12,0
127,Muslim Academy of Greater Orlando,56-2620244,SADAQAH-ELIGIBLE,44,5,5,,0,10,67.8%,6,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
128,Cancer Research Institute,13-1837442,SADAQAH-ELIGIBLE,41,5,5,,0,19,84.0%,12,7,5,low,5,0,12,GLOBAL_HEALTH,12,0
129,Fight Colorectal Cancer,20-2622550,SADAQAH-ELIGIBLE,41,5,5,,0,19,85.2%,12,7,5,low,5,0,12,GLOBAL_HEALTH,12,0
130,Islamic Oasis,26-3531888,SADAQAH-ELIGIBLE,41,5,5,,0,7,5.0%,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
131,Innocence Project,32-0077563,SADAQAH-ELIGIBLE,41,5,5,,0,17,74.6%,9,8,5,low,5,0,14,DOMESTIC_POVERTY,14,0
132,INSTITUTE FOR SOCIAL POLICY AND UNDERSTANDING,38-3633581,SADAQAH-ELIGIBLE,41,5,5,,0,11,72.9%,9,2,21,high,20,1,4,ADVOCACY,4,0
133,ING,77-0412815,SADAQAH-ELIGIBLE,41,5,5,,0,7,39.5%,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
134,The Islamic Society of Southern California,83-0668931,SADAQAH-ELIGIBLE,41,5,5,,0,7,,3,4,21,high,20,1,8,RELIGIOUS_CULTURAL,8,0
135,Habitat for Humanity International,91-1914868,SADAQAH-ELIGIBLE,41,5,5,,0,17,77.5%,9,8,5,low,5,0,14,DOMESTIC_POVERTY,14,0
136,Afghan Refugee Relief,93-1556038,SADAQAH-ELIGIBLE,41,5,5,,0,13,28.9%,3,10,5,low,5,0,18,HUMANITARIAN,18,0
137,Ar-Rahman Learning Center,85-3547280,SADAQAH-ELIGIBLE,34,5,5,,0,16,84.1%,12,4,5,low,5,0,8,RELIGIOUS_CULTURAL,8,0
138,Equal Justice Initiative,63-1135091,SADAQAH-ELIGIBLE,31,5,5,,0,17,96.9%,15,2,5,low,5,0,4,ADVOCACY,4,0
139,The Intercept,92-1198452,SADAQAH-ELIGIBLE,31,5,5,,0,13,71.7%,9,4,5,low,5,0,8,RELIGIOUS_CULTURAL,8,0
140,Union of Concerned Scientists,04-2535767,SADAQAH-ELIGIBLE,28,5,5,,0,14,87.8%,12,2,5,low,5,0,4,ADVOCACY,4,0
141,Rainforest Alliance,13-3377893,SADAQAH-ELIGIBLE,28,5,5,,0,14,83.5%,12,2,5,low,5,0,4,ADVOCACY,4,0
142,ACLU Foundation,13-6213516,SADAQAH-ELIGIBLE,28,5,5,,0,14,82.5%,12,2,5,low,5,0,4,ADVOCACY,4,0
143,350.org,26-1150699,SADAQAH-ELIGIBLE,28,5,5,,0,14,81.5%,12,2,5,low,5,0,4,ADVOCACY,4,0
144,Project South,58-1956686,SADAQAH-ELIGIBLE,28,5,5,,0,14,86.7%,12,2,5,low,5,0,4,ADVOCACY,4,
145,Earthjustice,94-1730465,SADAQAH-ELIGIBLE,28,5,5,,0,14,80.2%,12,2,5,low,5,0,4,ADVOCACY,4,0
146,Natural Resources Defense Council,13-2654926,SADAQAH-ELIGIBLE,25,5,5,,0,11,79.2%,9,2,5,low,5,0,4,ADVOCACY,4,0
147,Southern Poverty Law Center,63-0598743,SADAQAH-ELIGIBLE,25,5,5,,0,11,71.6%,9,2,5,low,5,0,4,ADVOCACY,4,0
148,Dream.Org,26-1140201,SADAQAH-ELIGIBLE,19,5,5,,0,5,,3,2,5,low,5,0,4,ADVOCACY,4,0
149,Institute for Understanding Anti-Palestinian Racism,99-3032347,SADAQAH-ELIGIBLE,19,5,5,,0,5,,3,2,5,low,5,0,4,ADVOCACY,4,0
